case_id,query,intent_expected,action_expected,domain,test_type,context,group_id,difficulty,design_logic,tags,meta,type,expected_intent,step
播放_音乐-e5791a25,切到轻松风格,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '切到{mood}风格'},,,
播放_音乐-31384e7e,切到安静风格,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '切到{mood}风格'},,,
播放_音乐-8101feb4,来点R&B音乐,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '来点{genre}音乐'},,,
播放_音乐-ba71ffe5,来点摇滚音乐,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '来点{genre}音乐'},,,
播放_音乐-13edf3d8,播放林俊杰的歌,播放_音乐,,MEDIA,BASE,,,2.0,模板填充生成基础表达,"['MEDIA', 'BASE']",{'template': '播放{artist}的歌'},,,
播放_音乐-274c6c08,换到安静风格,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '切到{mood}风格'},,,
播放_音乐-3ac6f56a,放点摇滚音乐,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '来点{genre}音乐'},,,
播放_音乐-a4a87841,播放薛之谦的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-e97a82f1,播放王菲的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-a9e7a894,播放王菲的歌,播放_音乐,,MEDIA,SYN,,,2.0,同义表达改写,"['MEDIA', 'SYN']",{'template': '播放{artist}的歌'},,,
播放_音乐-da8868be,切到·轻松风格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到轻松风格'},,,
播放_音乐-bab44ad1,切到·轻松风格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到轻松风格'},,,
播放_音乐-dbb5d967,麻烦你…切到轻松风格,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到轻松风格'},,,
播放_音乐-5d3c9c4a,切到轻松风格，劳驾,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到轻松风格'},,,
播放_音乐-7d8d7612,切到轻松风格,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '切到轻松风格'},,,
播放_音乐-a1e96250,切到轻松风格,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '切到轻松风格'},,,
播放_音乐-afd39ace,切到轻松风格啦,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '切到轻松风格'},,,
播放_音乐-e68e67bb,切到轻松风格啦,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '切到轻松风格'},,,
播放_音乐-257500d4,切到安·静风格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到安静风格'},,,
播放_音乐-8e319653,切到安静风·格,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '切到安静风格'},,,
播放_音乐-7fc14b55,拜托啦…切到安静风格,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到安静风格'},,,
播放_音乐-0756b784,切到安静风格，诶,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '切到安静风格'},,,
播放_音乐-56cd6c8e,切到安静风格,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '切到安静风格'},,,
播放_音乐-6218de66,切到安静风格,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '切到安静风格'},,,
播放_音乐-86ae591a,切到安静风格啦,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '切到安静风格'},,,
播放_音乐-51dc95ae,诶…切到安静风格,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '切到安静风格'},,,
播放_音乐-accfd976,来点R&B⾳乐,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '来点R&B音乐'},,,
播放_音乐-a56bbb18,来点R&B音樂,播放_音乐,,MEDIA,TYPO,,,3.0,TYPO 变体,"['MEDIA', 'TYPO']",{'base': '来点R&B音乐'},,,
播放_音乐-415bf754,请问一下…来点R&B音乐,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '来点R&B音乐'},,,
播放_音乐-88b67d7a,来点R&B音乐，劳驾,播放_音乐,,MEDIA,SLANG,,,3.0,SLANG 变体,"['MEDIA', 'SLANG']",{'base': '来点R&B音乐'},,,
播放_音乐-a7236252,来点R&B音乐,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '来点R&B音乐'},,,
播放_音乐-5791b5db,来点R&B音乐,播放_音乐,,MEDIA,DIALECT,,,3.0,DIALECT 变体,"['MEDIA', 'DIALECT']",{'base': '来点R&B音乐'},,,
播放_音乐-8d923e67,拜托…来点R&B音乐,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '来点R&B音乐'},,,
播放_音乐-54544f25,来点R&B音乐呀,播放_音乐,,MEDIA,NOISE,,,3.0,NOISE 变体,"['MEDIA', 'NOISE']",{'base': '来点R&B音乐'},,,
播放_音乐-d93ea25f,切到轻松风格,播放_音乐,,MEDIA,CTX,,CTX-33889,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '切到轻松风格'},,,
播放_音乐-25543c05,换成五月天的,播放_音乐,,MEDIA,CTX,,CTX-33889,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '切到轻松风格'},,,
播放_音乐-99ca5105,我想去银行,导航_POI,,MEDIA,CTX,,CTX-33889,3.0,多轮/消歧生成,"['CTX', 'DISAMBIG']",{'seed': '切到轻松风格'},,,
导航_POI-2878906d,导航到停车场,导航_POI,,NAV,BASE,,,2.0,模板填充生成基础表达,"['NAV', 'BASE']",{'template': '导航到{poi}'},,,
导航_POI-57e4f7bb,带我去北京咖啡店,导航_POI,,NAV,BASE,,,2.0,模板填充生成基础表达,"['NAV', 'BASE']",{'template': '带我去{city}{poi}'},,,
导航_POI-2f6d1a3c,去苏州的医院,导航_POI,,NAV,BASE,,,2.0,模板填充生成基础表达,"['NAV', 'BASE']",{'template': '去{city}的{poi}'},,,
导航_POI-192b9193,去上海的加油站,导航_POI,,NAV,BASE,,,2.0,模板填充生成基础表达,"['NAV', 'BASE']",{'template': '去{city}的{poi}'},,,
导航_POI-927d3330,去苏州的便利店,导航_POI,,NAV,BASE,,,2.0,模板填充生成基础表达,"['NAV', 'BASE']",{'template': '去{city}的{poi}'},,,
导航_POI-4b6149bb,导航到停车场,导航_POI,,NAV,SYN,,,2.0,同义表达改写,"['NAV', 'SYN']",{'template': '导航到{poi}'},,,
导航_POI-23090fdb,导航到便利店,导航_POI,,NAV,SYN,,,2.0,同义表达改写,"['NAV', 'SYN']",{'template': '导航到{poi}'},,,
导航_POI-d490c24e,去杭州的便利店,导航_POI,,NAV,SYN,,,2.0,同义表达改写,"['NAV', 'SYN']",{'template': '去{city}的{poi}'},,,
导航_POI-d1c6917d,去广州的咖啡店,导航_POI,,NAV,SYN,,,2.0,同义表达改写,"['NAV', 'SYN']",{'template': '去{city}的{poi}'},,,
导航_POI-e18666a7,导航到咖啡店,导航_POI,,NAV,SYN,,,2.0,同义表达改写,"['NAV', 'SYN']",{'template': '导航到{poi}'},,,
导航_POI-c8265505,到航到停车场,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '导航到停车场'},,,
导航_POI-af18ee6f,到航到停车场,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '导航到停车场'},,,
导航_POI-f55e830c,那个啥…导航到停车场,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '导航到停车场'},,,
导航_POI-6407b219,那个啥…导航到停车场,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '导航到停车场'},,,
导航_POI-f06976ef,导航到停车场,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '导航到停车场'},,,
导航_POI-855480ca,导航到停车场,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '导航到停车场'},,,
导航_POI-7f8c7903,导航到停车场哈,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '导航到停车场'},,,
导航_POI-27faad00,嗯…导航到停车场,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '导航到停车场'},,,
导航_POI-d5d1f7c2,带我去北京咖·啡店,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '带我去北京咖啡店'},,,
导航_POI-7556304f,带我去·北京咖啡店,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '带我去北京咖啡店'},,,
导航_POI-e67a4513,然后…带我去北京咖啡店,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '带我去北京咖啡店'},,,
导航_POI-6a141c99,呃…带我去北京咖啡店,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '带我去北京咖啡店'},,,
导航_POI-d93b96c5,带我去北京咖啡店,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '带我去北京咖啡店'},,,
导航_POI-e1d46567,带我去北京咖啡店,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '带我去北京咖啡店'},,,
导航_POI-058383f8,请问…带我去北京咖啡店,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '带我去北京咖啡店'},,,
导航_POI-fa4c3544,诶…带我去北京咖啡店,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '带我去北京咖啡店'},,,
导航_POI-8d17c715,去苏·州的医院,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '去苏州的医院'},,,
导航_POI-e3473c9d,去·苏州的医院,导航_POI,,NAV,TYPO,,,3.0,TYPO 变体,"['NAV', 'TYPO']",{'base': '去苏州的医院'},,,
导航_POI-d0244494,呃…去苏州的医院,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '去苏州的医院'},,,
导航_POI-55adcd36,呃…去苏州的医院,导航_POI,,NAV,SLANG,,,3.0,SLANG 变体,"['NAV', 'SLANG']",{'base': '去苏州的医院'},,,
导航_POI-8acb85c2,去苏州的医院,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '去苏州的医院'},,,
导航_POI-8531365a,去苏州的医院,导航_POI,,NAV,DIALECT,,,3.0,DIALECT 变体,"['NAV', 'DIALECT']",{'base': '去苏州的医院'},,,
导航_POI-2c49bbb7,去苏州的医院咯,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '去苏州的医院'},,,
导航_POI-bacd4271,那个啥…去苏州的医院,导航_POI,,NAV,NOISE,,,3.0,NOISE 变体,"['NAV', 'NOISE']",{'base': '去苏州的医院'},,,
导航_POI-ac6c7bae,导航到停车场,导航_POI,,NAV,CTX,,CTX-55843,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '导航到停车场'},,,
导航_POI-2f8762e3,换成五月天的,播放_音乐,,NAV,CTX,,CTX-55843,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '导航到停车场'},,,
导航_POI-844852b8,我想去银行,导航_POI,,NAV,CTX,,CTX-55843,3.0,多轮/消歧生成,"['CTX', 'DISAMBIG']",{'seed': '导航到停车场'},,,
车控_空调_开启-350c5ca8,开下空调,车控_空调_开启,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '开下空调'},,,
车控_空调_开启-bc84f25c,开下空调,车控_空调_开启,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '开下空调'},,,
车控_空调_开启-13a7272b,把空调打开,车控_空调_开启,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '把空调打开'},,,
车控_空调_开启-bde54297,空调启动,车控_空调_开启,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '空调启动'},,,
车控_空调_开启-99568f46,把空调打开,车控_空调_开启,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '把空调打开'},,,
车控_空调_开启-d89872d9,空调启动,车控_空调_开启,,HVAC,SYN,,,2.0,同义表达改写,"['HVAC', 'SYN']",{'template': '空调启动'},,,
车控_空调_开启-b610933f,把空调打开,车控_空调_开启,,HVAC,SYN,,,2.0,同义表达改写,"['HVAC', 'SYN']",{'template': '把空调打开'},,,
车控_空调_开启-35e55ad3,空调启动,车控_空调_开启,,HVAC,SYN,,,2.0,同义表达改写,"['HVAC', 'SYN']",{'template': '空调启动'},,,
车控_空调_开启-8b6866f2,空调启动,车控_空调_开启,,HVAC,SYN,,,2.0,同义表达改写,"['HVAC', 'SYN']",{'template': '空调启动'},,,
车控_空调_开启-ba366c44,把空调打开,车控_空调_开启,,HVAC,SYN,,,2.0,同义表达改写,"['HVAC', 'SYN']",{'template': '把空调打开'},,,
车控_空调_开启-ea52dbef,开下·空调,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '开下空调'},,,
车控_空调_开启-6272b78a,开·下空调,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '开下空调'},,,
车控_空调_开启-0d9f922c,嗯…开下空调,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '开下空调'},,,
车控_空调_开启-175a2119,劳驾…开下空调,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '开下空调'},,,
车控_空调_开启-e97208a7,开下空调,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '开下空调'},,,
车控_空调_开启-08bb2870,开下空调,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '开下空调'},,,
车控_空调_开启-cde9b527,开下空调哈,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '开下空调'},,,
车控_空调_开启-49c3b232,就是…开下空调,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '开下空调'},,,
车控_空调_开启-0310f2b4,开下·空调,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '开下空调'},,,
车控_空调_开启-7a3c2e67,开下·空调,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '开下空调'},,,
车控_空调_开启-0d50fc91,就是…开下空调,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '开下空调'},,,
车控_空调_开启-9e29b2e2,开下空调，然后,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '开下空调'},,,
车控_空调_开启-2180b250,开下空调,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '开下空调'},,,
车控_空调_开启-d8318363,开下空调,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '开下空调'},,,
车控_空调_开启-b765a8a0,请问…开下空调,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '开下空调'},,,
车控_空调_开启-b72dd24b,开下空调呀,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '开下空调'},,,
车控_空调_开启-34f6d9d7,把·空调打开,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '把空调打开'},,,
车控_空调_开启-d5828252,把空调·打开,车控_空调_开启,,HVAC,TYPO,,,3.0,TYPO 变体,"['HVAC', 'TYPO']",{'base': '把空调打开'},,,
车控_空调_开启-82a89fdc,把空调打开，麻烦你,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '把空调打开'},,,
车控_空调_开启-3688c867,劳驾…把空调打开,车控_空调_开启,,HVAC,SLANG,,,3.0,SLANG 变体,"['HVAC', 'SLANG']",{'base': '把空调打开'},,,
车控_空调_开启-e08c8b2d,把空调打开,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '把空调打开'},,,
车控_空调_开启-2ea907b3,把空调打开,车控_空调_开启,,HVAC,DIALECT,,,3.0,DIALECT 变体,"['HVAC', 'DIALECT']",{'base': '把空调打开'},,,
车控_空调_开启-3cc15422,诶…把空调打开,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '把空调打开'},,,
车控_空调_开启-f0a43740,把空调打开啦,车控_空调_开启,,HVAC,NOISE,,,3.0,NOISE 变体,"['HVAC', 'NOISE']",{'base': '把空调打开'},,,
车控_空调_开启-8959a8e0,开下空调,车控_空调_开启,,HVAC,CTX,,CTX-48240,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '开下空调'},,,
车控_空调_开启-4cc87e83,换成五月天的,播放_音乐,,HVAC,CTX,,CTX-48240,3.0,多轮/消歧生成,"['CTX', 'CTX_CONTINUATION']",{'seed': '开下空调'},,,
车控_空调_开启-c13dccde,我想去银行,导航_POI,,HVAC,CTX,,CTX-48240,3.0,多轮/消歧生成,"['CTX', 'DISAMBIG']",{'seed': '开下空调'},,,
车控_空调_设定温度-26bf39d5,把温度调到18度,车控_空调_设定温度,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '把温度调到{temp}度'},,,
车控_空调_设定温度-0e116597,设定温度为26度,车控_空调_设定温度,,HVAC,BASE,,,2.0,模板填充生成基础表达,"['HVAC', 'BASE']",{'template': '设定温度为{temp}度'},,,
